WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
40.0,6.0,8.0,0.4,,3.0,70.0,1030.7,12.0,18.5,1.6,,,
30.0,6.0,8.0,0.4,3.0,3.0,70.0,1030.9,11.9,18.5,1.4,,,
40.0,7.0,9.0,,,,,1030.9,11.9,18.4,1.5,,1.3,
30.0,6.0,8.0,0.5,,3.0,71.0,1031.0,11.9,18.4,1.5,,,
30.0,6.0,7.0,0.5,3.0,3.0,71.0,1031.2,11.9,18.4,1.2,,,
30.0,6.0,7.0,,,,,1031.4,12.0,18.4,1.6,,,
30.0,6.0,7.0,,,,,1031.7,11.9,18.4,1.0,,,
30.0,6.0,8.0,0.4,3.0,3.1,71.0,1031.8,11.9,18.4,0.9,,,
30.0,6.0,8.0,,,,,1031.9,11.9,18.5,0.9,,1.8,
40.0,6.0,8.0,0.5,,3.1,75.0,1032.0,11.9,18.5,1.6,,,
30.0,6.0,8.0,0.5,3.0,3.1,75.0,1032.1,11.9,18.5,1.1,,,
40.0,6.0,8.0,,,,,1032.0,12.0,18.5,1.8,,,
40.0,6.0,8.0,,,,,1032.1,12.0,18.5,1.2,,,
40.0,6.0,8.0,0.4,3.0,3.2,79.0,1032.3,12.0,18.5,1.7,,,
40.0,6.0,8.0,,,,,1032.3,12.0,18.5,1.7,,1.8,
40.0,6.0,8.0,0.4,,3.1,75.0,1032.5,11.9,18.5,1.5,,,
40.0,6.0,8.0,0.4,3.0,3.1,75.0,1032.7,11.9,18.5,1.4,,,
30.0,6.0,8.0,,,,,1032.9,11.9,18.5,1.9,,,
40.0,6.0,8.0,,,,,1032.9,11.8,18.5,1.8,,,
40.0,6.0,7.0,0.5,4.0,3.1,75.0,1033.0,11.8,18.5,2.1,,,
40.0,5.0,7.0,,,,,1033.0,11.8,18.5,1.8,,2.0,
40.0,5.0,7.0,0.4,,3.2,85.0,1033.1,11.7,18.5,1.5,,,
40.0,5.0,7.0,0.4,4.0,3.2,85.0,1033.2,11.9,18.5,1.6,,,
40.0,6.0,8.0,,,,,1033.1,11.8,18.5,1.4,,,
40.0,6.0,8.0,0.5,,3.2,77.0,1033.1,11.8,18.5,1.9,,,
40.0,6.0,7.0,0.5,4.0,3.2,77.0,1033.0,11.8,18.5,2.1,,,
40.0,5.0,7.0,,,,,1032.9,11.6,18.5,1.0,,1.1,
40.0,6.0,7.0,0.5,,3.3,82.0,1032.9,11.6,18.5,1.6,,,
40.0,6.0,8.0,0.5,4.0,3.3,82.0,1032.8,11.6,18.5,1.5,,,
40.0,6.0,7.0,,,,,1032.6,11.6,18.5,1.4,,,
50.0,6.0,7.0,0.4,,3.2,84.0,1032.5,11.7,18.5,1.6,,,
40.0,5.0,7.0,0.4,4.0,3.2,84.0,1032.4,11.6,18.5,0.9,,,
40.0,5.0,7.0,,,,,1032.3,11.7,18.5,0.9,,0.0,
50.0,5.0,7.0,0.5,,3.2,75.0,1032.2,11.7,18.5,1.0,,,
50.0,5.0,6.0,0.5,4.0,3.2,75.0,1032.0,11.8,18.5,1.1,,,
40.0,4.0,6.0,,,,,1031.7,11.8,18.5,1.4,,,
30.0,4.0,5.0,,,,,1031.6,11.9,18.5,2.2,,,
40.0,4.0,6.0,0.4,4.0,3.3,84.0,1031.3,11.9,18.5,2.3,,,
40.0,4.0,5.0,,,,,1031.2,11.8,18.5,1.8,,-1.8,
30.0,4.0,5.0,0.4,,3.3,83.0,1031.2,11.9,18.5,2.0,,,
40.0,4.0,5.0,0.4,4.0,3.3,83.0,1031.0,11.9,18.5,1.9,,,
40.0,3.0,5.0,,,,,1031.0,12.0,18.5,2.2,,,
60.0,3.0,5.0,,,,,1030.8,12.1,18.5,2.4,,,
60.0,3.0,4.0,0.4,4.0,3.3,81.0,1030.6,12.3,18.5,2.4,,,
50.0,3.0,5.0,,,,,1030.4,12.5,18.5,1.9,,-2.5,
70.0,3.0,5.0,0.4,,3.5,87.0,1030.4,12.5,18.5,2.3,,,
